Name 	 Beta 	 Calls 	 Width 	 Nodes 	 Sigma 	 time 	 Edges

z_1 	 1 	 7 	 1 	 3 	 0.0 	 0.1604311466217041 	 [('0', '1'), ('1', '2')] 
z_2 	 1 	 3 	 0 	 0 	 1.0 	 0.07206511497497559 	 [] 
z_3 	 1 	 3 	 0 	 0 	 1.0 	 0.07270598411560059 	 [] 
z_4 	 1 	 3 	 0 	 0 	 1.0 	 0.07137393951416016 	 [] 
z_5 	 1 	 3 	 0 	 0 	 1.0 	 0.0725550651550293 	 [] 
z_6 	 1 	 3 	 0 	 0 	 1.0 	 0.07461404800415039 	 [] 
z_7 	 1 	 3 	 0 	 0 	 1.0 	 0.07254767417907715 	 [] 
z_8 	 1 	 3 	 0 	 0 	 1.0 	 0.07236790657043457 	 [] 
z_9 	 1 	 3 	 0 	 0 	 1.0 	 0.0712900161743164 	 [] 
z_10 	 1 	 3 	 0 	 0 	 1.0 	 0.0723578929901123 	 [] 
