Name 	 Beta 	 Calls 	 Width 	 Nodes 	 Sigma 	 time 	 Edges

z_1 	 1 	 3 	 0 	 0 	 1.0 	 0.07048320770263672 	 [] 
z_2 	 1 	 3 	 0 	 0 	 1.0 	 0.07090306282043457 	 [] 
z_3 	 1 	 3 	 0 	 0 	 1.0 	 0.0701291561126709 	 [] 
z_4 	 1 	 3 	 0 	 0 	 1.0 	 0.07191610336303711 	 [] 
z_5 	 1 	 3 	 0 	 0 	 1.0 	 0.07375693321228027 	 [] 
z_6 	 1 	 3 	 0 	 0 	 1.0 	 0.07300400733947754 	 [] 
z_7 	 1 	 3 	 0 	 0 	 1.0 	 0.07185816764831543 	 [] 
z_8 	 1 	 3 	 0 	 0 	 1.0 	 0.0717010498046875 	 [] 
z_9 	 1 	 3 	 0 	 0 	 1.0 	 0.07234907150268555 	 [] 
z_10 	 1 	 3 	 0 	 0 	 1.0 	 0.0726010799407959 	 [] 
